Name,Comment,Likes,Time,Reply Count
@rudyb2755,"Idk I've  been using THC instead of Pharmaceuticals from my doctor. I feel so much better refreshed in the morning. Also my dreams are better I think I can actually remember my dreams now, weird I guess. I'm the opposite of most yall 😊",0,2024-05-11T20:07:53Z,0
@NovaNews666,damn u talk so much bs,0,2024-05-11T14:38:09Z,0
@kaylaa1176,My doctor told me cannabis causes insomnia after I told her I’d hit one bowl a night TO help me sleep. I have severe PTSD and I can’t even lie down and close my eyes. I think it’s great. And this can apply to almost any drug. Overuse leads to a higher tolerance. So even prescription medication can have the same problem. (I have epilepsy and PTSD) so I take a lotttttt of pills. My doctor sneakily raises my mg’s even now and then so. I like the one bowl pack 😂,0,2024-05-11T11:13:19Z,0
@Relqxings-xg5fy,"I love cannabis, it doesn't make me so hectic, it relaxes my muscles after strength training and I just love the taste. I started combining cannabis with meditation and since then I have been a different person with more awareness and inner peace. I just advise against smoking, a vaporizer at 170 degrees is completely harmless :) green greetings",0,2024-05-11T08:27:17Z,0
@KatalistProductionsKozzySasha,"Has to be a good strong Indica for me, if I smoke a more sativa one I won't get to sleep right away. Helps with my sleep and Pain from my disability, chronic pain from my spine issues. Helps me from waking up in the middle of the night in pain to.",0,2024-05-11T06:27:18Z,0
@Comedybrand,You cannot get any true information on drug use of you're using subjects who have/had no real reason to use it in the first place- like stupid kids.,0,2024-05-11T05:38:42Z,0
@Comedybrand,"IF MANY PEOPLE SMOKE BECAUSE THEY ALREADY HAVE INSOMNIA, HOW CAN YOU SAY IT WAS CAUSED BY THE WEED?",0,2024-05-11T05:37:01Z,0
@darreno9874,I tried CBD oil to help with ME  symptoms but with zero TCH it had no effect.,0,2024-05-11T05:28:56Z,0
@JohnDoe-lx5rm,"When i was smoking lots and lots of pot i dont think Ive dreamt in past 15 years, once I stopped(1.5) months ago I got my dreams back 👍",1,2024-05-11T03:33:27Z,0
@chriscasterbassmaster,Bullcrap. I been smoking since i was 15 and i still sleep like a baby. Always Will.,0,2024-05-11T00:20:22Z,0
@mgsminecraft,"I tried a THC 10 mg edible out of curiosity, as I am a non-user and was wondering how it would affect me. I know I definitely had minimal REM sleep due to a lack of dreams, I slept a very long time (16 hours!), but woke up feeling hung over and depressed. Definitely not something I’d wanna try again.",0,2024-05-10T23:37:23Z,0
@ScottRonspiez,"What if you take the 1:1:1 gummies and don't smoke.  Thc, cbd, cbn 10 mg each.",0,2024-05-10T23:15:13Z,0
@drew-shourd,"Decent video, much was left incomplete imo. Btw, I smoke every day, all day, have for 44 years (how old are you?...hehehe) I live down here in Michigan, where we can have 12 plants, so I am very well versed on growing and harvesting cannabis. Plus I am well experienced on seed varieties, levels of THC, percentage of either sativa or indica, or even rudaralis if they are auto-flowers. When I lived in Los Angeles (1985-2013)  I started an edible company, Wake and Bake Foods and was mostly making teas and chewy (and healthy) granola bars. I am also very aware that the same type and level of THC (and CBD) can affect the same person differently, on a daily basis, for one reason, what kind and how much food is in their stomach....and that's just one variable out of dozens. So all these medical studies hold some credence for me, although most are done by people who don't partake or really understand it, except possibly molecularly and biochemically. 
And personally, I have and remember amazingly detailed dreams ON cannabis, so much for that study aye?
Funny how you compare dispensaries with fast food places, when one is natural medicine while other is straight up poison. I feel as if you need to do a follow up video titled, ""How Fast Food Completely Changes Your Sleep'....cause we all know it does, trans fats, high salt, high sugar and even higher preservatives.",0,2024-05-10T22:06:55Z,0
@grahamthom8597,"I wouldn’t have survived adolescence without weed. I haven’t smoked weed in over 30 years now. However, it saved my life in my youth. Of that I’m sure. I wasn’t another brick in the wall. I questioned everything and anyone who was the supposed “ system”. Thus making me an outcast. Weed saved me from going “nuts”. Period.",0,2024-05-10T17:55:26Z,0
@stefcat5331,"Informative and amusing. The mental and physical conditions brought on by living life and getting old, far outdo weed with negative effects. Someone I'm very close to has been using weed, heavily for sixty plus years, and he sleeps well and is healthy at seventy.",0,2024-05-10T15:20:25Z,0
@iownornot1,i don't dream if i smoke for a logn time. and when i stop smoking it feels like all i do is dream while i sleep so i wake up like 5 times every night.,0,2024-05-10T15:08:26Z,0
@secretsmile77,"yea, for the better",0,2024-05-10T13:31:34Z,0
@totheleftrightla,The weed made my sleep dreams become dreams of weeds.,0,2024-05-10T02:49:47Z,0
@LasagnaQueen,As someone with night terrors instead of dreams; I see this as an absolute win,11,2024-05-10T02:47:48Z,1
@3093DaNieLe3093,"You need a therapist,weed Will make you regret what you Just said",3,2024-05-20T07:17:18Z,
@jaec45,"I'm a sixty-eight year old retired senior who has R.A. (Rheumatoid Arthritis) on both ankles, both knees, and both shoulders, and also Gout.  I've had these chronic problems for a long time now I couldn't walk for a block or cross the street easily by myself.  I have taken several pain medications but the pain lingers.
In 2020, when Cannabis was legalized in Chicago, my son suggested I try it.  I was hesitant of course because of the bad publicity of Marijuana.  I tried smoking it at first, but it made me dizzy and nauseous.  So then I started taking it as ""tea"".  My son makes a concoction of Canna-butter and I would take about 10 ml. of the cannabutter, dissolve it in a hot cup of tea, then drink it before bedtime.
Since then, my mobility has improved dramatically and I could sleep peacefully and longer too.  I've been using ""Cannabis Indica"" (not Sativa) since 2020 up to the present and I don't feel any untoward effects.  I can walk five blocks now, take public transport, sleep soundly at night, no hallucinations or depression (I also take Vit.D3 2000 units to prevent depression since I don't get as much sunlight anymore).  I feel great is all I can say.
The only thing I notice that is unusual, for me, is an increase in my appetite.  Other than that, I feel like I'm in my forties again.
.",2,2024-05-10T02:05:06Z,0
@BlondeBarbieBimbo,"I have narcolepsy which means I enter REM sleep straight away (and get way too much, wake about 10 times a night, really bad horific nightmares multiple times) and since I started smoking I finally feel better sleep. It cures me from as intense dreams and I wake up way less in the night. I normally wake at 7 but since smoking I never feel alert and awake and instead feel groggy meaning I actually got better deep sleep! Wish I could use this medically but idk if thats a thing in the UK",0,2024-05-10T00:34:25Z,0
@morpher44,"makes me less stressed about work and willing to sleep longer, etc. Good for sleep, bad for work.",0,2024-05-10T00:28:26Z,0
@Anime-Face.,"All that weed is only making you dumber, stupider, and less healthy—and leaving you with no money.",0,2024-05-09T20:17:05Z,0
@lhandlott,"I use it because it helps me fall asleep and I DONT DREAM!!!!, my dreams are so bad I can't even call them nightmares, they affect me exactly as the matrix affects the human mind, and I rather not sleep at all,  thankfully   God's lettuce helps me not dream.  not dreaming and  staying in an infinite void of nothingness it's just beautiful",0,2024-05-09T19:11:07Z,0
@davidfine9323,This guy has no idea about weed,0,2024-05-09T13:37:41Z,0
@thenobody9755,I frequently decrease my usage for the sole reason of wanting to decrease my resistance...,0,2024-05-09T13:09:47Z,0
@LVeAV,"Too much pop psychology focuses on REM sleep when the brain actually repairs itself in deep slow wave sleep. REM sleep is just a form of subconscious information consolidation, this is what leads to some people getting psychologically messed up using cannabis for sleep. What's important when using cannabis for sleep improvement is to focus on psychologically healthy behavior when conscious and awake. It lessens the hard work for subconscious memory consolidation so that the actual brain repair has more time do do its thing.",0,2024-05-09T12:00:00Z,0
@cjod33,"Every time I smoke for over a week, I stop dreaming.
It's something that I've found to happen since I was twenty.
Once I get off pot my dreams come back about a month later.",0,2024-05-09T11:40:55Z,0
@justindavies6822,"Started Smoking when I was 28, due to depression and trying to gain weight. I smoke daily now, and this is definitely true. I never dream if I smoke before bed. my eyes close and then they open.",0,2024-05-09T11:23:32Z,0
@user-hi4vo1cn7r,Bs here. It makes it easier to sleep weĺl.,1,2024-05-09T03:21:34Z,0
@jambo8442,I will die smoking weed,0,2024-05-08T22:01:02Z,0
@papabear2262,"Sleep tech here who uses small amounts for sleep almost on a daily basis. THC does reduce REM sleep, however, to counter this purchase some Blue Lotus tea and drink before bed. REM sleep will return in abundance - but we warned, the dreams can be very intense.",2,2024-05-08T21:35:34Z,0
@johnjoyus6062,Your talk about Marijuana and sleep is obsolete unless you also know how CBN helps with sleep along with CBD.,0,2024-05-08T18:07:21Z,0
@barnabasseadog7660,"I have a very high tolerance to THC, my preferrence being distillate with 79% THC or higher. Been a lifelong dope smoker since the 1970's. Now, at the age of sixty-two, I see dope as an inhibitor and make strides to limit my habit. Clarity is good for my remembering my dreams, but I can rarely get more than a few hours sleep at a time and dope makes me sleep like a baly. So now I binge for around two to four grams of distillate in a couple of weeks, followed by a four to eight week cleanse and detox. This keeps my tolerance levels relatively low and I can get some benefit from both ends of the spectrum.",0,2024-05-08T17:54:16Z,0
@jonathantepairi2664,"It does not make you fall asleep it just makes you more relaxed,i have a simple form of insomnia and do not have trouble  sleeping, but it takes quite a while to go to sleep ,once down my sleep pattern is betweeen 6 to 9 hrs but does not depend on dosage ,but like you i have a discernible  user of weed for over 35 to 40 years ,,,,,and i have a saying ,the origin of which escapes me that saying is you be the master and do not fall to her de,ightful charms in other words if you can't  control your usage give up",0,2024-05-08T15:14:47Z,0
@joelhubeny7554,Oh and Don't burn it because the combustion chemically alters the Terpenes in to a Carbon Monoxide. Vape or eat it. the Weed,0,2024-05-08T15:05:15Z,0
@joelhubeny7554,this is exactly why I hate YouTube. So Just don't look at the Terpene profile or the biochemistry of this medical herbal  plant that has two Genders.This Plant so similar to Humans  Hemp makes Pollen Sperm Male. Marijuana Makes Seeds and large Fruit smell good from far away like a female. Each Plant has a different terpene profile for medical uses. Caryaphyllene is anti inflammatory.  Myrcene is a Muscle relaxer. Limonene is anti anxiety. Every flower has different % of terpene because it is bio-chemistry it might work for other stuff. Not all is the same. that is prejudice against weed.,0,2024-05-08T14:47:41Z,0
@stevenjohnston7809,"l have been a stoner since l was 12, but l use it now more for pain relief than anything else. l had a 4 wheeler accident when l was 15 and it helps me with my back and leg pain.",1,2024-05-08T11:30:06Z,0
@bigwill6089,Corporate weed sucks and doesn't get me high!,0,2024-05-08T09:45:55Z,0
@user-co9xg4ey1o,odd I dream more on consumption. I do only consume 3 to 4 times a year tho,0,2024-05-08T09:42:16Z,0
@shortstvcinema2543,"being a chronic user for last at least 4 years never missing a day of our country's version of weed (resin of the flowering top of canabis plant), I sleep 5 minutes after falling on bed every day. Usually due to work I sleep lesser in week and more on weekends, but I don't find it difficult to shorten or extend my sleep however I want. But that is true that I never had a dream in a long time...",0,2024-05-08T09:25:07Z,0
@KurtFickeisen,"For a while when weed became legal in my state, I'd smoke or eat edible pot frequently.  Eventually I became skeptical about long term effects.   Now I may intake pot once a week for entertainment, but value being a non-user much more frequently.  I still think about being more pro-use since I did suffer a 
TBI 10 years ago",0,2024-05-08T05:23:02Z,0
@joshuaweisel2998,THC stopped my night terrors. I believe we should use it like a medicine because the symptoms you named other sleep meds also effect or make it so people who are sensitive cannot function the next day. THC is an amazing alternative to lots of things but I think it should also be paired with CBD and other cannabinoids and used respectfully as a medical drug if you are looking for the health benefits. They are there just like vitamins you cannot take to much of one. The weed industry today has created strains that are vary high in THC and we should remember that thc is amazing but it is not a fix all drug and is not the only drug cannabis has to offer.,1,2024-05-08T03:36:20Z,0
@amandawallace891,"it's taken my hours to fall asleep pretty much all my life. Been smoking weed since i was bout 14, I'm 40 now. Haven't smoked weed in about 5 days, haven't slept well like at all if at all in 4 nights. Oh and, no dreams.",0,2024-05-08T00:04:02Z,0
@georgemcfly6523,This guy definitely needs more knowledge on the subject he probably doesn't even smoke weed so he knows nothing of it there is no downfall to excessive consumption of marijuana get your facts straight and make a new video,0,2024-05-07T23:23:19Z,0
@davidpepin6443,"Great video.  Maybe make one on hallucination inducing drugs like lsad, magic mushrooms, dmt.   How their use can affect your sleep too.",0,2024-05-07T23:03:46Z,0
@jolenekp,I stopped smoking for a few years. I started up again about a year ago and I noticed how I wasnt dreaming anymore. I would wake up every morning remembering dreams but now I dont have them.,1,2024-05-07T22:52:27Z,0
@cataclysmic911,"everything in moderation. 
...if you can't quit it, don't start is.",0,2024-05-07T21:57:12Z,0
@TheOleHermit,"Dude, you look more like some college med preppie, evangelical goodie 2 shoes, or a sports jock than an seasoned  stoner. 
You sound like a typical YT 'expert' 1st timer know-it-all, who has done some 'research' and now considers yourself to be an authority.
I've been a daily user for over 50 years and you have only stated that you don't know JS about the long term effects regarding sleep, dreaming, physical harm, nor psychological benefits.
You haven't even mentioned the differences between sativa, indica, and the hundreds of hybrid strains in between. That pre-rolled joint came straight from the dispensary and I'll bet that you can't even roll your own. That's also where you  learned about edibles and vaping.
You haven't even mentioned the harmful  effects  on the lungs of smoking vs vaping/edibles. You're not helping anyone but yourself by peddling these 'maybe it does this or not' videos.
NO ONE SHOULD FOLLOW ANY OF YOUR ADVICE, NONE OF WHICH YOU HAVE GIVEN. /smh
Go do a video about alcohol addiction, including the car wrecks, family violence, liver disease, joblessness, homelessness, surviving on the streets, incarceration, felony unemployability, revolving prison sentencing.
Do a video about how the judicial system ruins peoples lives, whether because of illegal drugs alcohol, or racism.",0,2024-05-07T20:43:33Z,0
@vinigt,im back to the dreams after cannabis so....,0,2024-05-07T20:38:37Z,0
@onewaveview,"I use GABA, this cured my insomnia from weed 😅",0,2024-05-07T15:44:12Z,0
@jamesmadill9097,Yeah but Tim Hortons outnumber then all total,0,2024-05-07T11:22:49Z,0
@Mr_Toodles,I dont consume a crazy amount of THC. my tolerance has always been low and remains low. Hell I only just discovered how well it helps me sleep in the past few years. I've had extreme manic depression since I was a teenager and none of the pharmaceuticals ever helped with it. But THC... the moment it kicks in all of that is instantly cured. I am trying to give up alcohol after 15 years of chronic abuse and THC has curbed the cravings by over half.,0,2024-05-07T04:42:50Z,4
@Charlesjohn-oc8qu,"Psychedelic mushrooms completely helped me get out of addiction and depression. It totally rewired my mind Honestly, they worked better than antidepressants.",0,2024-05-07T07:55:04Z,
@Charlesjohn-oc8qu,Dude is on instagram,0,2024-05-07T07:55:18Z,
@Charlesjohn-oc8qu,@mrwrghttrip,0,2024-05-07T07:55:43Z,
@Charlesjohn-oc8qu,@mrwrghttrip,0,2024-05-07T07:56:05Z,
@Mr_Toodles,yeah bro. i sleep amazingly when i take an edible,0,2024-05-07T04:33:26Z,2
@Charlesjohn-oc8qu,Dude is on instagram,0,2024-05-07T07:57:03Z,
@Charlesjohn-oc8qu,@mrwrghttrip,0,2024-05-07T07:57:13Z,
@thechonk7462,"I'm a daily smoker, and I've noticed that I still dream when I go to sleep high, including with edibles. The dreams are quite vivid/abundant too. BUT when I stop smoking, they just.. increase in intensity/duration/activity even more.
Interesting how it affects people differently! Most I know don't seem to remember their dreams, especially not the other smokers.",0,2024-05-07T03:29:27Z,0
@unkxwnmopar2214,everything you said Is exactly what i’ve been learning in my experience and i no longer want to indulge in it because it was already hard to get sleep and now that i’m getting off i’m sure it will be for atleast a couple of weeks like last time I cut it off,0,2024-05-06T19:21:11Z,3
@Charlesjohn-oc8qu,"Psychedelic mushrooms completely helped me get out of addiction and depression. It totally rewired my mind Honestly, they worked better than antidepressants.",1,2024-05-07T07:59:27Z,
@Charlesjohn-oc8qu,Dude is on instagram,0,2024-05-07T07:59:35Z,
@Charlesjohn-oc8qu,@mrwrghttrip,0,2024-05-07T07:59:46Z,
@Pool00069,Who's watching this while smoking 😂,0,2024-05-06T11:39:26Z,0
@friedricengravy6646,"In Missouri we r encouraged as patients with pain (neuromuscular disease, back/neck injuries, etc) to utilize legal cannabis &/or edible thc products in place of opioids. This puts us in a bit of a predicament as we must dose multiple times a day every day, which leads to broken sleep with routine dosing between as well. I assume this is just part of the challenge……",0,2024-05-06T07:05:50Z,0
@bryantsamperi3402,"It's better than the brain destroying traumatic and chronic stress associated with the 100s of millions of violent alcohol related crimes over the past 60 years, including the sexual abuse of 10s of millions of children. 

Do you think when the medical community joined with the government to enforce alcohol as a monopoly over the recreational drug market, and totally misrepresent, even lie, about alcohol's only known competitor, and wage war onnthe traumatized victims of the nation's drunken debauchery, they knew they woukd be sowing the seeds of a mental health and drug crisis?

Mass malpractice on a level never seen before in human history needs not be with knowkedge and  willful to be malpractice.",0,2024-05-06T01:30:59Z,0
@ogoh8208,"watching this faded asf and i can't help but laugh
oh man i need to take a t break",0,2024-05-05T15:36:25Z,0
@kevinalicea2929,A lot of your facts make no sense,0,2024-05-05T15:04:26Z,0
@romeocastille1690,"*LET'S TAKE THIS A STEP FURTHER: CBN can be understood as a weaker version of THC. When THC components found in the cannabis plant age, they break down. This leads to the formation of a less potent cannabinoid called CBN. It’s about 25% as effective as THC, which makes it a mild chemical.*
*Unlike CBD, which is entirely non-psychoactive, CBN in larger doses can produce mild psychoactive reactions. SLEEP AID: CBN has shown to have sedative properties that could relieve conditions like insomnia. CBN use showed relief in muscle and joint pain conditions like fibromyalgia. The study also noted that pain relief was better when CBD and CBN were used together.*",0,2024-05-05T15:00:38Z,0
@elizabethbrauer1118,"THC eliminates my memory of dreams, which is just fine with me. Not a fan of dreaming.",0,2024-05-05T07:14:59Z,0
